Variable,VIF
edu_less_hs,1.9592282539468058
edu_hs,1.8589459980602212
edu_some_college,1.8418994147468826
race_hispanic,1.375687381545149
race_asian,1.3402481138439077
pir,1.3333023413081544
race_black,1.284958297378357
sleep_long,1.1567107458411952
sleep_short,1.1439276023769656
race_other,1.0957306550775543
bmi,1.0636556432146043
age,1.05488123909706
female,1.0204535384558384
